Unique, e.g. D001;Must match Cities sheet;Must match POIs sheet;English name;中文名;"street_food
noodle
rice
soup
dumpling
hotpot
barbecue
dessert
drink
snack
pastry
seafood
stir_fry";vegetarian, vegan, halal, no_pork, no_beef, dairy_free, nut_free, egg_free, low_spice;"2–3 concise objective sentences:
- what the dish is
- main ingredients
- how it is commonly served / tasted"; D001_cover.jpg
cuisine_id;city_id;poi_id;dish_name_en;dish_name_cn;category;tag;discription;image
D001;BJ;BJ022;Peking Duck;北京烤鸭;barbecue;no_pork, dairy_free, nut_free, egg_free;Peking Duck is a world-famous Beijing dish featuring roasted duck with crispy skin and tender meat. It is traditionally sliced in front of diners and served wrapped in thin pancakes with sweet bean sauce, cucumber, and scallions. The skin is often dipped in sugar for a melt-in-the-mouth texture.;D001_cover.jpg
D002;BJ;BJ005;Braised Sea Cucumber with Scallions;葱烧海参;seafood;no_pork, dairy_free, nut_free, egg_free, low_spice;This is a classic Shandong masterpiece featured at DaDong, showcasing premium sea cucumber braised with caramelized Chinese scallions. The sea cucumber absorbs the rich, savory, and slightly sweet sauce while retaining a gelatinous yet firm texture. It is a highly celebrated delicacy in high-end Chinese dining.;D002_cover.jpg
D003;BJ;BJ024;Instant-Boiled Mutton;老北京涮羊肉;hotpot;halal, no_pork, dairy_free, nut_free, egg_free;A traditional Beijing-style hotpot featuring paper-thin slices of high-quality mutton quick-boiled in a copper pot with clear broth. It is traditionally paired with a rich dipping sauce made of sesame paste, fermented bean curd, and leek flower sauce. The dish highlights the natural, tender flavor of premium lamb.;D003_cover.jpg
D004;BJ;BJ025;Fresh Mutton Slices;手切鲜羊肉;hotpot;halal, no_pork, dairy_free, nut_free, egg_free;A signature offering at JuBaoYuan featuring fresh, hand-cut mutton slices that are thick yet incredibly tender. Unlike frozen rolled meat, these fresh cuts stick to the plate even when turned upside down, proving their premium moisture control and quality. It offers a chewy, juicy texture after a brief poaching in the hotpot.;D004_cover.jpg
D005;BJ;BJ026;Stir-fried Pig's Liver;姚记炒肝;soup;dairy_free, nut_free, egg_free, low_spice;A legendary Beijing street food consisting of thoroughly cleaned pig's liver and intestines thoroughly stewed in a thick, glossy soup flavored with garlic and soy sauce. The soup is thickened with starch to achieve a smooth texture, resulting in a savory and aromatic local comfort breakfast.;D005_cover.jpg
D006;BJ;BJ027;Deep-Fried Dough Rings;焦圈;snack;vegetarian, vegan, no_pork, no_beef, dairy_free, nut_free, egg_free;A classic, ring-shaped traditional Beijing snack made of flour that is deep-fried to a golden, translucent crispness. It has an incredibly crunchy texture and can be preserved for days without losing its crispness. Locals almost always pair it with fermented mung bean milk (Douzhi) or savor it inside a sesame flatbread.;D006_cover.jpg
D007;BJ;BJ028;Matsutake and Chicken Soup;松茸鸡汤;soup;no_pork, no_beef, dairy_free, nut_free, egg_free, low_spice;It‘s a premium, clear double-boiled chicken soup combining nourishing fresh yams and highly prized matsutake mushrooms. The soup delivers an intensely clean, and elegant aroma while preserving the natural health benefits of the ingredients.;D007_cover.jpg
D008;BJ;BJ028;Steamed Chicken Feet with Black Bean Sauce;豉汁蒸凤爪;snack;no_pork, no_beef, dairy_free, nut_free, egg_free, low_spice;A quintessential Cantonese dim sum dish featuring deep-fried then steamed chicken feet braised in a savory, aromatic fermented black bean sauce. The culinary process creates an incredibly puffed, tender texture where the skin easily separates from the bone.;D008_cover.jpg
D009;BJ;BJ028;Pineapple Bun with Cold Butter;冰火菠萝油;pastry;vegetarian, no_pork, no_beef, nut_free, low_spice;A classic Cantonese bakery favorite featuring a freshly baked, warm pineapple bun sliced open with a thick slab of ice-cold butter stuffed inside. The bun itself contains no actual pineapple but is named for its sweet, crunchy, pineapple-textured cookie crust. It offers a sensory delight from the temperature contrast and the rich butter melting into the soft, sweet bread.;D009_cover.jpg
